Name,Ticker,Sub-Sector,Market Cap_x,PE Ratio_x,1M Return,1W Return,6M Return,1Y Return,5Y CAGR,PE Ratio_y,PB Ratio,PS Ratio,EV/EBITDA Ratio,EV / Revenue Ratio,Price / Sales,Price / Free Cash Flow,Market Cap_y,Enterprise Value,Dividend Yield,Dividend Per Share,Earnings Per Share,Payout Ratio,Free Cash Flow,Net Profit Margin,EBITDA Margin,Return on Assets,Return on Equity,Return on Investment,ROCE,Cash Flow Margin,Operating Cash Flow,Inventory Turnover Ratio,Asset Turnover Ratio,Working Capital Turnover Ratio,Days of Sales Outstanding,Debt to Equity,Long Term Debt to Equity,Interest Coverage Ratio,3Y Historical Dividend Growth,5Y Historical Revenue Growth,5Y Historical EBITDA Growth,5Y Historical EPS Growth,1Y Historical Revenue Growth,1Y Historical EBITDA Growth,1Y Historical EPS Growth,5Y Avg Return on Equity,5Y Avg Return on Assets,5Y Avg Return on Investment,5Y Avg Net Profit Margin,5Y Avg EBITDA Margin,Free Cash Flow.1,Operating Cash Flow.1,Investing Cash Flow,Financing Cash Flow,Change in Working Capital,Total Assets,Total Liabilities,Total Equity,Share Capital,Reserves & Surplus,"Net Property,Plant & Equipment",Cash and Equivalent,Long Term Debt,Accounts Payable,Total Receivables,Total Inventory,Goodwill & Intangibles,Other Assets,Other Liabilities,5Y CAGR Missing,5Y EPS Growth Missing,Market Cap,Score,Buffett Score,Earnings Yield,ROIC,Greenblatt Rank,Greenblatt Score,Piotroski Score,PEG Ratio,Peter Lynch Score,Composite Score,Final Rank,Name_lower
itc,ITC,FMCG - Tobacco,517275.287264372,14.887063501248086,-4.466243508366999,-1.8961839298411949,-5.963481888578811,3.105696009747182,19.031803160545515,14.887063501248086,6.907137060735529,5.563328581004578,11.408438888929242,5.353866190063611,5.563328581004578,37.989332460683016,517275.287264372,497799.587264372,3.661138323505676,14.35,27.79,0.5163727959697733,13616.33,37.37022134,46.92899916,23.04112179,28.33061781,27.31468453,53.78694569,23.32928869,17178.86,0.0,1.0471548458531923,3.48847704093788,13.704243657685256,0.0040516774142118,0.0031028187085667,931.824456280515,9.66986417056901,12.320690837206993,14.929217918317985,18.69515350352284,26.268254376738696,50.2749486591453,78.85775795520264,25.46164236,20.94844159,24.83784347,28.23307577,39.66134603,13616.33,17178.86,1562.77,-18550.96,-9456.59,91753.97,16864.0,74889.97,1248.47,58444.58,27370.78,20162.1,232.37,4797.83,4025.82,14152.88,3310.2200000000003,1837.83,871.98,0.0,0.0,517275.287264372,93.0,95,0.08765441176797649,53.78694569,75.0,97.88135593220339,4,0.7963060318516683,100,91.19774011299435,1.0,itc
oracle financial services software,OFSS,Software Services,82256.4617470983,34.56734818755182,11.269589716499384,7.228915662650603,-22.262363519588952,0.4267853160959736,27.42264521731288,34.56734818755182,10.466743405782315,11.50279146232671,22.707064560597043,10.734335302349086,11.50279146232671,46.72175997813099,82256.4617470983,76761.23174709831,2.792241284413164,265.0,274.27,0.966201188609764,1760.5600000000002,33.27646483,47.27310866,23.52486007,28.977624,28.44250677,39.09720107,26.66612064,1790.67,0.0,0.7579945315427378,1.149090979209986,61.31857082925465,0.0054664556092247,0.0023514920777112,6622.8,11.7285315836841,7.253391575314616,7.03750576771196,9.991910872852072,6.4905474933545815,8.186385893045754,6.939814575936359,26.50982511,21.84413794,25.47873068,33.33918259,47.80401627,1760.5600000000002,1790.67,1610.96,-1958.45,-1159.54,9749.44,1890.6000000000004,7858.84,43.34,5977.799999999999,199.16700000000003,5538.19,18.48,107.89,1319.31,0.0,608.663,1290.22,540.2000000000003,0.0,0.0,82256.4617470983,124.0,70,0.04403915782823259,39.09720107,168.0,83.05084745762713,4,3.4595332792119855,0,59.248587570621474,117.5,oracle financial services software
glaxosmithkline pharmaceuticals,GLAXO,Pharmaceuticals,55745.561044783,60.09719924188808,14.79236343366778,-4.76878612716763,47.75739489160012,27.38554672720394,19.607292540723066,60.09719924188808,28.568275181689724,14.294356688569245,40.08595022913048,13.650272202835252,14.294356688569245,44.0022425523988,55745.561044783,53233.741044783,1.6410142197063988,54.0,54.75542860533531,0.9862035852046696,1266.88,23.78539577,34.05250998,24.20420891,49.75073412,47.36240988,57.25128466,33.07580074,1289.9,2.731811003287677,1.0176079950943937,2.807450867468144,24.082158709482208,0.0050991385274507,0.0012760658224474,962.7480916030538,-15.65673346982508,0.2564857120436192,27.459535921367184,58.34244593616737,8.449411705816745,49.60401951175544,57.22930368160544,42.91444745,22.38021241,40.46273506,21.15571021,30.2020861,1266.88,1289.9,-45.8,-769.42,103.12,4108.08,2156.7699999999995,1951.31,169.41,1781.9,290.9314,2521.77,2.49,712.74,292.55,481.74,7.0486,259.34,249.1199999999993,0.0,0.0,55745.561044783,127.0,80,0.0249463962880765,57.25128466,222.0,58.05084745762712,4,1.030076786764144,50,64.74858757062148,84.0,glaxosmithkline pharmaceuticals
colgate-palmolive (india),COLPAL,FMCG - Personal Products,64408.049666894105,44.82711678433064,-9.90881458966566,-2.9787234042553266,-15.766799675129771,-19.50300437926469,12.397911923336768,44.82711678433064,34.362688953506314,10.423684322714172,30.094911377220708,10.2129661008631,10.423684322714172,57.33314016992532,64408.049666894105,63106.019666894106,2.153654303420069,51.0,52.83,0.9653605905735378,1123.4,23.25307776,33.93585704,43.54455615,73.7255448,68.27209151,98.82432287,20.8263056,1198.96,0.0,2.032729557596652,10.95850883649165,9.591941103833786,0.0382797328154676,0.0317708444482383,447.72222222222223,8.43514426250984,6.198521633289267,10.884369420981855,11.969137473018066,7.331312587394367,7.103272500676729,8.55589501922707,67.49816381,37.1684444,63.70171462,21.67370678,32.14401698,1123.4,1198.96,79.24,-1195.27,-695.86,3196.5200000000004,1322.1600000000003,1874.36,27.2,1834.36,904.35,1373.78,59.55,886.87,167.39,296.41,0.0,323.61,23.26000000000069,0.0,0.0,64408.049666894105,137.0,80,0.033228208831241654,98.82432287,164.0,84.74576271186442,4,3.7452253251651646,0,62.75706214689266,95.0,colgate-palmolive (india)
bharat electronics,BEL,Electronic Equipments,287770.885581611,54.07763417075284,12.51605537319822,0.2288329519450743,27.71979759645795,26.897093479968586,76.54110279253996,54.07763417075284,17.606706985186417,11.740426507881978,36.535445281797,11.292623042433044,11.740426507881978,71.81775849562037,287770.885581611,276794.725581611,0.6096332210307884,2.4,7.28,0.3296703296703296,4006.96,21.7103183,30.90867774,10.62333707,26.36679673,24.35914158,40.63384565,22.25334529,4659.49,0.0,0.6535035173880452,2.278173695674501,107.40922993695511,0.0038245538683303,0.0036862801242505,734.3677685950414,16.962528889028672,13.406240179634851,21.528648317132635,23.88396308367875,17.063067916429063,32.41457177963005,33.554831887203456,21.68325875,8.532522843,20.51346115,17.48602354,25.77474684,4006.96,4659.49,-5923.85,-1475.01,-1722.83,39524.48,23180.09,16344.39,730.98,15595.49,3691.37,11056.59,60.25,3706.31,7392.38,7450.16,237.56,277.86,1089.84,0.0,0.0,287770.885581611,153.0,75,0.027370680507299808,40.63384565,233.0,48.728813559322035,4,2.2641817851287467,0,50.451977401129945,155.0,bharat electronics
tata consultancy services,TCS,IT Services & Consulting,1245037.77202016,25.64285980310506,-3.805136795086549,1.3858647678455809,-20.812194238086605,-8.356268511965602,11.313824184022891,25.64285980310506,13.000154243144166,4.801793278542459,16.944230296349396,4.663933926321359,4.801793278542459,27.68534771341887,1245037.77202016,1209292.77202016,3.661567845675113,126.0,134.1952060541616,0.9389307092620434,44971.0,18.7256543,27.52520383,31.93005416,51.90336202,46.92620028,62.59181433,18.86256875,48908.0,2.0,1.7051502526954732,3.7882387318284754,79.27037132741451,0.0980672646208142,0.081841058357958,83.07412060301507,43.09815352273127,9.925705143991117,8.852068500802645,9.259917594626344,5.695126673868289,5.326151121605667,6.360237100559581,45.96475709,29.54074578,42.4435754,18.96245286,28.13207932,44971.0,48908.0,-2144.0,-47438.0,-18945.0,158649.0,62878.0,95771.0,362.0,94394.0,21799.0,46152.0,7838.0,14630.0,59046.0,21.0,2800.0,8166.0,2039.0,0.0,0.0,1245037.77202016,157.0,70,0.05901713931587959,62.59181433,103.0,94.49152542372882,4,2.7692319657343343,0,62.68079096045198,96.0,tata consultancy services
bse,BSE,Stock Exchanges & Ratings,109964.28038803,82.93620163665916,12.802163511545656,-7.669254869908741,42.87580776157351,195.51372176675736,128.37984569238,82.93620163665916,31.83070993615292,33.080321160241986,55.94192926265063,31.41129500024969,33.080321160241986,40.56659708638328,109964.28038803,104416.17038803,0.8494633118796382,23.0,32.183011503218296,0.7146627654065252,2710.71,39.88646756,56.14982432,10.08013447,24.77509091,23.65168409,39.64347482,135.5710429,2842.03,0.0,0.4304780355399235,2.7616871733947024,16.566952252599155,5.7892817238e-06,5.7892817238e-06,161.5058918302306,72.25554926012376,37.00348938125917,58.110121579813566,62.8889894053936,58.56969766354692,65.2275906024821,67.97190089479564,10.51401321,4.863023262,10.82311124,29.43894399,44.90179289,2710.71,2842.03,-1071.45,-149.05,2230.9300000000003,9450.23,5995.570000000001,3454.66,27.07,3275.22,262.39,5700.5,0.02,200.16,210.87,0.0,37.42,1969.52,968.57,0.0,0.0,109964.28038803,159.0,75,0.017875679533770485,39.64347482,268.0,32.62711864406781,4,1.3187714164404467,50,55.621468926553675,129.0,bse
ganesh housing corp,GANESHHOUC,Real Estate,8214.43842438423,13.735140996529164,0.7867579442117024,-5.787965616045847,-24.96928746928747,-6.349130288945325,112.31615978061748,13.735140996529164,5.237998281120384,8.268264828417227,9.83008416283423,8.044226337843591,8.268264828417227,13.47623398307642,8214.43842438423,7991.85842438423,0.5075641552833896,5.0,71.72,0.0697155605131065,609.55,60.19788825,81.83273108,28.90548778,33.36507856,29.46330013,51.11841563,70.95134269,637.81,0.0,0.6233408519809388,1.0548002654280024,38.81860914553745,0.0051395194613069,0.0029077182063969,210.33159268929504,0.0,29.8128614728264,12.258475030134864,15.141140167717529,10.517943355507596,29.03532996857444,29.81380713696549,4.279116519,5.36009732,8.677822528,17.46744933,41.45603031,609.55,637.81,-488.64,-243.74,14.64,1769.11,200.87000000000023,1568.24,322.17,830.0999999999999,362.1551,230.64,4.5600000000000005,19.16,121.24,442.04,223.8949,7.58,3.090000000000237,0.0,0.0,8214.43842438423,180.0,90,0.10172852881370223,51.11841563,62.0,99.15254237288136,4,0.9071404692371781,100,90.07909604519773,4.0,ganesh housing corp
abbott india,ABBOTINDIA,Pharmaceuticals,66878.72375739389,47.28282836839592,0.7996161842315689,-0.5208333333333334,12.118932790584488,16.4605550765588,14.620512433416554,47.28282836839592,18.08075497173312,10.00470082671909,32.90433552131984,9.69784325730342,10.00470082671909,57.43226483700354,66878.72375739389,64827.46375739389,1.5092121803362173,475.0,665.62,0.7136203840028845,1164.48,21.15926896,29.47284333,24.64293774,34.88151604,32.08967457,49.29871169,19.80573297,1212.81,0.0,1.3713673197251,3.59180701787379,17.415598685362013,0.022501344998094,0.0099381165701061,166.08748906386697,19.983162620797668,9.70118777572424,17.73714688773218,18.9908375457275,9.164648495230663,15.799620305988627,17.746627572301463,30.01898879,20.6111875,27.53235102,17.91758576,25.5770655,1164.48,1212.81,-416.03,-744.71,-275.09000000000003,5193.49,1494.6,3698.89,21.25,3677.64,228.87,2134.49,36.760000000000005,1007.65,319.11,619.58,6.18,1696.75,115.12,0.0,0.0,66878.72375739389,188.0,80,0.030391131872335365,49.29871169,206.0,66.52542372881356,4,2.489770567229851,0,57.290960451977405,123.0,abbott india
authum investment & infrastructure,AIIL,Diversified Financials,42366.161744,9.98869756613956,15.291902071563095,-2.515923566878973,35.88684304123007,132.6261065055501,223.125707953792,9.98869756613956,4.095283834004665,9.18563332711796,10.557526828155469,9.331589070772855,9.18563332711796,13.1197082076056,42366.161744,43039.34174399999,0.0400898011545862,1.0,249.72,0.004004485023226,3229.2,91.96027076,88.38802139,46.27036355,62.27262686,37.34561095,35.44853553,122.8711246,3279.16,0.0,0.4980573235339218,-26.31944761469984,2.3899553794051456,0.1090698890586953,0.1090698890586953,18.820479085382445,0.0,14.153633540843202,16.749049210155576,19.26446409988789,72.8212891283658,-3.709976096671457,-1.01423306875652,2.6499060080000003,1.7787773945,1.822881082,10.44672691,17.06492292,3229.2,3279.16,-2265.55,-1163.92,2194.59,11621.2,1276.0899999999983,10345.11,16.98,9666.24,357.04,455.16,1128.34,10.65,60.19,0.0,0.0,0.81,-1.8189894035458565e-12,0.0,0.0,42366.161744,189.0,90,0.0947191531006237,35.44853553,103.0,94.49152542372882,4,0.5185037857449505,100,88.68079096045199,10.0,authum investment & infrastructure
